time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-06T09:23:20.620Z,19.0043,-66.8973,44,2.52,md,4,320,0.5778,0.19,pr,pr2019006012,2019-01-06T12:16:22.306Z,"57km NNE of Isabela, Puerto Rico",earthquake,3.09,5.05,0.14,3,reviewed,pr,pr
2019-01-06T09:08:02.790Z,56.1599,-149.2174,20.22,3.5,ml,,198,2.458,0.63,us,us2000j0s9,2019-01-06T09:19:35.040Z,"265km SE of Kodiak, Alaska",earthquake,10.2,10.8,0.071,26,reviewed,us,us
2019-01-06T08:37:19.216Z,58.8553,-135.1135,1.1,2.6,ml,,,,0.62,ak,ak019a27is1,2019-01-06T08:49:34.715Z,"45km SSE of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-06T08:34:10.160Z,38.7414,141.4424,97.25,4.7,mb,,87,1.011,0.71,us,us2000j0ry,2019-01-06T15:08:24.202Z,"33km SE of Ichinoseki, Japan",earthquake,6.4,6.1,0.042,173,reviewed,us,us
2019-01-06T07:31:52.830Z,-35.2078,-104.9089,10,4.9,mb,,187,25.343,0.62,us,us2000j0rm,2019-01-06T08:26:12.040Z,"Southeast of Easter Island",earthquake,9.5,1.8,0.072,60,reviewed,us,us
2019-01-06T07:30:04.920Z,-3.3801,153.7089,390.38,5.1,mww,,42,1.739,0.95,us,us2000j0qw,2019-01-06T07:49:12.040Z,"141km NNE of Taron, Papua New Guinea",earthquake,9,5,0.069,20,reviewed,us,us
2019-01-06T07:25:41.210Z,51.3827,-178.1721,35,5.1,mb,,175,0.79,0.95,us,us2000j0qt,2019-01-06T21:11:37.940Z,"55km S of Tanaga Volcano, Alaska",earthquake,10.6,2,0.032,316,reviewed,us,us
2019-01-06T06:45:23.256Z,60.2568,-141.1268,0.7,2.5,ml,,,,0.81,ak,ak019a12dm3,2019-01-06T06:57:21.848Z,"75km ENE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-06T06:28:25.730Z,18.7433,-64.8713,29,2.99,md,6,341,1.1476,0.2,pr,pr2019006009,2019-01-06T07:35:08.849Z,"44km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.59,15.15,0.4,5,reviewed,pr,pr
2019-01-06T05:38:42.580Z,44.7466667,-110.241,7.72,2.75,ml,10,107,0.06092,0.05,uu,uu60016979,2019-01-06T18:14:00.080Z,"56km NE of Old Faithful Geyser, Wyoming",earthquake,0.49,0.55,0.255,5,reviewed,uu,uu
2019-01-06T05:35:47.030Z,18.1856,-67.9725,71,3.04,md,16,192,0.5244,0.63,pr,pr2019006008,2019-01-06T05:58:45.040Z,"69km SE of Punta Cana, Dominican Republic",earthquake,4.56,2.62,0.51,16,reviewed,pr,pr
